,gen,temperature,humidity,visibility,apparentTemperature,pressure,windSpeed,windBearing,precipIntensity,dewPoint
2016-01-01,18.026199973000015,40727.34000000029,720.2799999999993,11125.599999999926,33989.340000000164,1156803.9599999906,8420.919999999951,300606.0,0.1276000000000001,27849.259999999966
2016-01-02,76.05129994800004,45637.30000000013,835.2800000000008,14333.360000000015,35226.43999999989,1460895.7600000158,11733.580000000076,380922.0,0.0,26637.980000000138
2016-01-03,74.08143333999995,47914.02000000049,883.5799999999954,14400.0,38548.4199999997,1453861.9800000167,10967.420000000062,327054.0,0.0,30604.260000000184
2016-01-04,108.52501667399987,32108.720000000045,861.979999999999,14119.279999999992,15936.880000000128,1463662.4200000113,16165.700000000235,460508.0,0.0,14835.89999999998
2016-01-05,148.10750003099974,17208.19999999975,770.8199999999921,14394.779999999992,3973.979999999963,1489091.4599999858,9592.179999999847,419634.0,0.0,-3292.159999999985
2016-01-06,136.92203333500004,28765.20000000002,825.1000000000025,14330.399999999881,22724.600000000064,1486863.0799999745,5726.979999999939,312532.0,0.0,7985.039999999978
2016-01-07,111.07721669400028,33599.039999999695,895.7400000000084,14287.19999999991,31265.41999999971,1477864.5399999986,3576.7799999999615,198706.0,0.0,15923.340000000124
2016-01-08,31.267216634999972,42463.280000000115,1033.160000000006,14205.979999999869,35261.179999999586,1475104.8600000008,7083.099999999996,52432.0,0.0,30723.44000000004
2016-01-09,27.691133334000018,54431.360000000874,1148.6400000000053,12903.559999999932,50012.21999999941,1472674.599999991,6061.940000000058,91426.0,0.0,46180.16000000009
2016-01-10,8.63096670900001,65328.61999999985,1212.89999999999,10617.85999999996,60219.900000000176,1442159.7199999902,12076.340000000051,219432.0,36.023799999999255,58692.0200000003
2016-01-11,80.06955000899998,37995.19999999969,667.4400000000035,14378.539999999986,25174.15999999965,1457371.6199999987,15447.820000000109,388552.0,0.0,11746.14000000005
2016-01-12,56.725133364999955,37019.55999999923,986.0000000000011,11865.900000000056,28385.73999999985,1452407.300000031,9427.360000000073,279262.0,1.3861999999999992,23338.41999999997
2016-01-13,90.76486667699999,29184.539999999823,798.2399999999999,13762.440000000024,14089.07999999988,1456468.4000000188,15363.680000000002,381954.0,0.0,9485.880000000003
2016-01-14,112.9268000219999,34581.47999999988,946.6600000000035,13902.299999999948,27178.679999999786,1459170.0000000116,7064.680000000061,309688.0,0.0,20113.579999999736
2016-01-15,63.8297499379999,50064.76000000042,1069.6799999999926,13036.960000000008,45708.560000000296,1451222.7800000065,6068.8399999999865,60078.0,3.0898,39091.80000000049
2016-01-16,20.085066687999994,51704.12000000022,1125.5000000000136,12815.76000000001,45054.7799999994,1444614.7799999926,8957.24000000001,419138.0,10.255999999999954,42576.40000000005
2016-01-17,22.266666675999954,40894.08000000015,942.9799999999897,12798.09999999996,32085.78000000009,1449397.2000000102,8791.840000000044,298740.0,0.5683999999999999,26046.400000000187
2016-01-18,116.44299997799992,26502.919999999725,721.6199999999978,13339.099999999851,5576.879999999973,1452262.260000011,22994.000000000175,416628.0,0.0,4077.6399999999376
2016-01-19,90.20348333299998,29427.60000000001,764.2400000000106,14063.620000000039,9795.02000000007,1462085.9400000065,22339.580000000013,434824.0,0.0,8520.24000000002
2016-01-20,142.88619998799985,34511.680000000524,782.0199999999955,14400.0,22169.920000000086,1466666.7599999823,11569.659999999923,431614.0,0.0,13619.26000000008
2016-01-21,156.73700005599974,31582.799999999734,710.7399999999925,14400.0,16889.37999999981,1471702.339999994,14262.620000000143,431890.0,0.0,7897.539999999965
2016-01-22,106.31516660400011,34200.80000000002,722.7600000000056,14164.299999999988,20540.71999999991,1468315.479999993,13297.22,50730.0,0.0,11070.580000000127
2016-01-23,22.40644996300001,32393.41999999982,746.6399999999958,12732.140000000063,16421.11999999995,1454778.8200000143,16594.7599999997,215802.0,0.8062000000000016,10487.039999999817
2016-01-24,138.17215003100006,38715.78000000078,737.7800000000034,14390.139999999996,31277.51999999992,1468568.6399999845,7272.379999999872,394602.0,0.0,15095.479999999821
2016-01-25,134.73916669199986,46343.49999999939,966.6599999999922,14090.859999999953,38466.85999999952,1469369.3200000096,9206.44000000001,267114.0,0.058000000000000045,31908.819999999636
2016-01-26,43.20321667400004,58144.39999999993,860.7999999999935,14400.0,50000.840000000215,1458756.8199999975,13170.079999999945,370510.0,0.0,39108.05999999969
2016-01-27,90.272499968,41495.01999999944,900.7400000000055,14390.139999999996,34661.780000000064,1463476.9199999971,10204.940000000039,328268.0,0.0,24348.499999999887
2016-01-28,153.47666670599992,46930.50000000024,1020.1399999999915,13289.87999999997,42356.73999999986,1441506.5199999884,6563.220000000038,343094.0,0.17979999999999982,34577.939999999864
2016-01-29,40.743900045999936,42736.78000000043,896.2199999999987,14287.479999999996,31716.000000000236,1456736.1200000066,12070.179999999764,382410.0,0.0,26077.320000000345
2016-01-30,98.09700000000014,57147.15999999973,743.0600000000019,14400.0,49735.519999999706,1457675.3799999785,11311.720000000001,266524.0,0.0,33100.01999999985
2016-01-31,75.82171672599985,63745.95999999972,914.4800000000066,14241.659999999973,58233.74000000119,1451809.940000003,12391.620000000026,341520.0,0.0,46294.66000000073
2016-02-01,56.273483320000025,51761.180000000364,894.7599999999981,14400.0,47900.61999999978,1473286.4399999962,6063.800000000017,409262.0,0.0,33547.21999999985
2016-02-02,154.69981659600026,58487.200000000405,1171.759999999987,11501.440000000124,55393.480000000236,1469136.2000000125,9534.559999999992,210166.0,30.08260000000013,50880.46000000049
